archive_file;period_month;rows_count;trade_days_in_file
MarketStockResult_2024_01.xlsx;2024-01;350;23
MarketStockResult_2024_02.xlsx;2024-02;306;21
MarketStockResult_2024_03.xlsx;2024-03;0;0
MarketStockResult_2024_04.xlsx;2024-04;280;22
MarketStockResult_2024_05.xlsx;2024-05;309;23
MarketStockResult_2024_06.xlsx;2024-06;258;20
MarketStockResult_2024_07.xlsx;2024-07;299;23
MarketStockResult_2024_08.xlsx;2024-08;264;22
MarketStockResult_2024_09.xlsx;2024-09;264;21
MarketStockResult_2024_10.xlsx;2024-10;281;23
MarketStockResult_2024_11.xlsx;2024-11;261;21
MarketStockResult_2024_12.xlsx;2024-12;279;22
MarketStockResult_2025_01.xlsx;2025-01;232;23
MarketStockResult_2025_02.xlsx;2025-02;235;20
MarketStockResult_2025_03.xlsx;2025-03;274;21
MarketStockResult_2025_04.xlsx;2025-04;284;22
MarketStockResult_2025_05.xlsx;2025-05;304;22
MarketStockResult_2025_06.xlsx;2025-06;250;21
MarketStockResult_2025_07.xlsx;2025-07;268;23
MarketStockResult_2025_08.xlsx;2025-08;259;21
MarketStockResult_2025_09.xlsx;2025-09;276;22
MarketStockResult_2025_10.xlsx;2025-10;282;23
MarketStockResult_2025_11.xlsx;2025-11;252;20
MarketStockResult_2025_12.xlsx;2025-12;276;23
MarketStockResult_2026_01.xlsx;2026-01;236;22
